因子,key,均值IC,为正期数,方向稳定,IC标准差,最小,最大,2023H2,2024H1,2024H2,2025H1,2025H2,2026H1,2026H2,IR
站上均线条数 (above-2)×8,F_above,-0.0162,3/7,否,0.055,-0.1169,0.0649,0.0649,-0.0342,-0.1169,0.0052,-0.0178,-0.0235,0.0087,0.295
均线排列 ±8/±18,F_arrange,-0.0718,1/7,是,0.0878,-0.2354,0.0315,-0.0289,0.0315,-0.2354,-0.0273,-0.0265,-0.0954,-0.121,0.818
四均线斜率 ±14,F_slope,-0.0805,0/7,是,0.0779,-0.2083,-0.0059,-0.0798,-0.0156,-0.2083,-0.0216,-0.0059,-0.0702,-0.1622,1.033
20日涨跌 ±6,F_chg20,-0.0948,0/7,是,0.1067,-0.2944,-0.0253,-0.0455,-0.0438,-0.1953,-0.0259,-0.0253,-0.0338,-0.2944,0.888
支撑压力突破/跌破 +8/-12,F_sr,-0.0508,1/7,是,0.063,-0.1835,0.0069,-0.0173,0.0069,-0.0715,-0.0261,-0.0293,-0.0349,-0.1835,0.806
MA20乖离修正 ±4,F_dev,0.0735,7/7,是,0.0477,0.0113,0.1574,0.0275,0.0865,0.1574,0.0611,0.0113,0.0896,0.0814,1.541
盘口信号 clamp ±8,F_intraday,0.0011,4/7,否,0.0277,-0.0441,0.0245,-0.0263,0.0226,-0.0441,-0.0073,0.0243,0.0143,0.0245,0.04
基本面 ±8,F_fund,,2/7,否,,,,,,-0.0895,-0.1219,0.1903,0.0426,-0.0159,
【生产总分】,A_total,-0.0681,0/7,是,0.08,-0.215,-0.0049,-0.0254,-0.0052,-0.215,-0.0291,-0.0049,-0.0555,-0.1417,0.851
